Dia,Clima,Temperatura,Humedad,Viento,Juego
1,N,T,N,F,S
2,S,C,A,D,N
3,S,F,N,D,S
4,LL,T,A,F,N
5,N,F,A,F,N
6,S,C,N,D,S
7,S,F,N,D,S
8,N,C,N,D,N
9,S,F,N,D,S
10,N,F,A,F,S
11,LL,F,N,F,S
12,S,T,N,D,S
13,S,T,A,D,S
14,N,T,N,F,S
15,S,T,N,F,N
16,LL,F,A,D,S
17,S,F,N,D,S
18,N,C,N,F,S
19,N,C,A,D,N
20,S,F,N,F,N
21,S,C,N,D,N
22,S,C,A,F,N
23,N,F,N,D,N
24,S,C,A,F,S
25,S,T,A,D,S
26,N,T,A,D,S
27,S,F,A,D,N
28,S,T,N,F,S
29,S,T,N,D,S
30,S,T,A,D,S
31,S,F,N,D,S
32,N,F,N,D,N
33,LL,F,N,F,S
34,N,T,A,F,N
35,S,F,A,D,N
36,LL,F,N,D,N
37,LL,F,N,D,N
38,S,T,N,F,S
39,LL,T,A,F,N
40,S,F,A,F,N
41,N,T,A,F,N
42,LL,C,N,D,N
43,S,T,N,F,N
44,N,F,N,F,S
45,N,T,A,D,S
46,LL,T,N,F,N
47,N,F,A,F,S
48,N,F,N,D,N
49,N,C,A,D,N
50,N,C,A,D,S
51,N,F,N,F,S
52,S,C,N,F,S
53,N,F,N,D,N
54,LL,F,A,D,N
55,N,F,N,D,N
56,LL,F,A,D,N
57,S,F,A,F,S
58,LL,T,A,D,N
59,S,F,A,D,N
60,LL,C,N,F,S
61,S,T,N,D,N
62,S,C,N,F,N
63,LL,C,A,F,S
64,S,C,A,D,S
65,LL,F,A,F,N
66,S,T,A,F,S
67,N,C,A,F,N
68,S,C,A,D,S
69,S,F,N,D,N
70,N,C,N,D,N
71,S,T,N,F,S
72,N,C,A,F,S
73,LL,C,A,D,S
74,N,C,A,D,S
75,S,C,A,F,S
76,LL,C,N,F,S
77,LL,C,N,D,S
78,LL,F,N,D,S
79,LL,T,A,F,S
80,N,C,N,D,N
81,S,F,N,F,N
82,N,F,A,F,N
83,LL,T,N,F,S
84,LL,T,N,F,S
85,S,C,N,D,S
86,S,F,A,F,S
87,LL,C,A,F,N
88,LL,F,N,D,S
89,N,F,N,F,S
90,S,F,N,F,N
91,S,C,N,F,S
92,LL,C,A,F,S
93,S,C,N,D,S
94,S,C,A,D,N
95,LL,T,A,F,S
96,S,F,A,F,N
97,N,F,N,F,S
98,LL,C,A,F,S
99,S,T,A,D,N
100,N,T,A,D,N
